Series Name,Location,Parameter,Timestamp,Value,Offset
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 10:00,8.7636,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 10:00,10.9029,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 10:00,10.1963,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 10:00,2.052,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 10:00,7.9949,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 09:00,1.9973,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 09:00,9.6769,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 09:00,10.8798,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 09:00,10.0818,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 09:00,2.3549,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 09:00,7.9758,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 08:00,2.3764,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 08:00,8.0734,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 08:00,10.9588,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 08:00,10.119,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 08:00,1.8965,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 08:00,7.9183,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 07:00,2.7257,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 07:00,5.5934,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 07:00,11.0295,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 07:00,10.2916,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 07:00,1.559,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 07:00,7.8711,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 06:00,3.113,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 06:00,4.7883,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 06:00,11.0725,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 06:00,10.41,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 06:00,1.3888,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 06:00,7.8851,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 05:00,3.3758,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 05:00,4.295,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 05:00,11.0715,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 05:00,10.4908,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 05:00,1.4154,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 05:00,7.8999,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 04:00,3.6002,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 04:00,5.6591,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 04:00,11.2099,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 04:00,10.4811,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 04:00,1.4307,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 04:00,7.9259,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 03:00,3.5777,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 03:00,5.1705,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 03:00,11.3767,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 03:00,10.5284,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 03:00,1.1667,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 03:00,7.9293,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 02:00,3.4507,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 02:00,7.3525,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 02:00,11.3095,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 02:00,10.425,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 02:00,1.3291,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 02:00,8.0145,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 01:00,3.3225,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 01:00,6.4605,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 01:00,11.4721,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 01:00,10.4499,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 01:00,1.3027,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 01:00,7.9879,0
"Depth","FS-Bottom","Depth-sensor",2024-04-14 00:00,3.1266,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-14 00:00,5.4744,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-14 00:00,11.6605,0
"Surface DO","FS-Surface","DO-sensor",2024-04-14 00:00,10.5254,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-14 00:00,1.1461,0
"Surface pH","FS-Surface","pH-sensor",2024-04-14 00:00,7.973,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 23:00,2.9555,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 23:00,5.5389,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 23:00,11.7016,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 23:00,10.55,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 23:00,1.2822,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 23:00,7.9866,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 22:00,2.85,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 22:00,5.7579,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 22:00,11.7584,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 22:00,10.5699,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 22:00,1.2702,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 22:00,7.9827,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 21:00,2.8421,-6.46
