"Date Time","Salinity (psu)","DO (mg/L)","Temperature (C)","Total Dissolved Solids (mg/L)"
"2024-03-26 18:16:00.000","0.0","8.380485534667969","20.889698028564453","0.0"
"2024-03-26 19:04:00.000","0.06815937161445618","10.800354957580566","19.44559097290039","93.66671741008759"
"2024-03-26 20:00:00.000","0.07056479901075363","10.822397232055664","21.199846267700195","96.86931222677231"
"2024-03-26 21:00:00.000","0.07784407585859299","10.872907638549805","24.36646842956543","106.653593480587"
"2024-03-26 22:00:00.000","0.08110780268907547","10.828944206237793","35.1961669921875","111.62351071834564"
"2024-03-26 23:00:00.000","0.08511047065258026","10.671894073486328","28.427480697631836","116.54475331306458"
"2024-03-27 00:00:00.000","0.08430881053209305","10.567229270935059","24.6999568939209","115.31822383403778"
"2024-03-27 00:04:00.000","0.0842754915356636","10.577727317810059","24.512252807617188","115.26865512132645"
"2024-03-27 01:00:00.000","0.08397964388132095","10.58779239654541","23.167518615722656","114.84593898057938"
"2024-03-27 02:00:00.000","0.0838305875658989","10.625555038452148","22.1982479095459","114.63768035173416"
"2024-03-27 03:00:00.000","0.08369764685630798","10.657269477844238","21.191909790039062","114.46085572242737"
"2024-03-27 04:00:00.000","0.08343349397182465","10.713615417480469","20.158666610717773","114.12031948566437"
"2024-03-27 05:00:00.000","0.08332481980323792","10.75059986114502","19.003860473632812","114.00482803583145"
"2024-03-27 06:00:00.000","0.08319368213415146","10.81035327911377","17.917333602905273","113.87435346841812"
"2024-03-27 07:00:00.000","0.082956962287426","10.871023178100586","16.8819637298584","113.61642926931381"
"2024-03-27 08:00:00.000","0.08287596702575684","10.901079177856445","15.844595909118652","113.58346790075302"
"2024-03-27 09:00:00.000","0.08278204500675201","10.970829010009766","15.172205924987793","113.51911723613739"
"2024-03-27 10:00:00.000","0.08267514407634735","11.029276847839355","14.69993782043457","113.42299729585648"
"2024-03-27 11:00:00.000","0.08265431970357895","11.061339378356934","14.262201309204102","113.44096064567566"
"2024-03-27 12:00:00.000","0.08262735605239868","11.141109466552734","13.951621055603027","113.44307661056519"
"2024-03-27 13:00:00.000","0.08256310969591141","11.185086250305176","13.700209617614746","113.38766664266586"
"2024-03-27 14:00:00.000","0.08255539834499359","11.226263046264648","13.460405349731445","113.40650916099548"
"2024-03-27 15:00:00.000","0.08257467299699783","11.256233215332031","13.2542085647583","113.46159875392914"
"2024-03-27 16:00:00.000","0.08256226778030396","11.298797607421875","13.182453155517578","113.45468461513519"
"2024-03-27 17:00:00.000","0.08261363208293915","11.305681228637695","13.573529243469238","113.47383260726929"
"2024-03-27 18:00:00.000","0.0827348381280899","11.320735931396484","14.133145332336426","113.56603354215622"
"2024-03-27 19:00:00.000","0.08281794935464859","11.338894844055176","14.679618835449219","113.6169508099556"
"2024-03-27 20:00:00.000","0.08288206905126572","11.352760314941406","15.155308723449707","113.65623027086258"
"2024-03-27 21:00:00.000","0.08296946436166763","11.361116409301758","15.479077339172363","113.74211311340332"
"2024-03-27 22:00:00.000","0.0829770639538765","11.346246719360352","15.591968536376953","113.74224722385406"
"2024-03-27 23:00:00.000","0.082992322742939","11.357255935668945","15.575235366821289","113.76415938138962"
"2024-03-28 00:00:00.000","0.08298951387405396","11.349464416503906","15.548301696777344","113.76284062862396"
"2024-03-28 01:00:00.000","0.08298644423484802","11.333709716796875","15.511940002441406","113.76196146011353"
"2024-03-28 02:00:00.000","0.08300748467445374","11.338191986083984","15.468025207519531","113.79405111074448"
"2024-03-28 03:00:00.000","0.08301369100809097","11.31623649597168","15.31968879699707","113.81613463163376"
"2024-03-28 04:00:00.000","0.0829605981707573","11.300830841064453","15.079869270324707","113.76777291297913"
"2024-03-28 05:00:00.000","0.08294786512851715","11.309353828430176","14.770926475524902","113.78185451030731"
"2024-03-28 06:00:00.000","0.08292325586080551","11.302044868469238","14.346166610717773","113.79428952932358"
"2024-03-28 07:00:00.000","0.08282739669084549","11.315238952636719","13.901938438415527","113.71802538633347"
"2024-03-28 08:00:00.000","0.08276819437742233","11.330078125","13.534428596496582","113.68465423583984"
"2024-03-28 09:00:00.000","0.08275049924850464","11.343849182128906","13.236446380615234","113.69963735342026"
"2024-03-28 10:00:00.000","0.08270906656980515","11.366064071655273","12.982259750366211","113.68025094270706"
"2024-03-28 11:00:00.000","0.08269336819648743","11.375860214233398","12.718317031860352","113.69750648736954"
"2024-03-28 12:00:00.000","0.08265828341245651","11.396369934082031","12.404731750488281","113.69678378105164"
"2024-03-28 13:00:00.000","0.0825989693403244","11.405957221984863","12.072349548339844","113.6714220046997"
"2024-03-28 14:00:00.000","0.08245499432086945","11.450249671936035","11.707633972167969","113.53898793458939"
"2024-03-28 15:00:00.000","0.08245313912630081","11.477289199829102","11.405526161193848","113.58919739723206"
"2024-03-28 16:00:00.000","0.0824514776468277","11.494963645935059","11.308354377746582","113.60567063093185"
"2024-03-28 17:00:00.000","0.08253905922174454","11.486302375793457","11.551365852355957","113.67983371019363"
"2024-03-28 18:00:00.000","0.08265835046768188","11.506058692932129","12.220707893371582","113.73207718133926"
"2024-03-28 19:00:00.000","0.08602166175842285","11.398215293884277","16.0497989654541","117.78713762760162"
"2024-03-28 20:00:00.000","4.184098720550537","10.494586944580078","11.327613830566406","4930.643558502197"
"2024-03-28 21:00:00.000","4.025145053863525","10.536497116088867","11.375214576721191","4754.562854766846"
"2024-03-28 22:00:00.000","2.655891180038452","10.635075569152832","11.568434715270996","3216.355800628662"
"2024-03-28 23:00:00.000","1.6771368980407715","10.70821762084961","11.611564636230469","2083.6164951324463"
