Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-03-01 03:00,2.7414,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 03:00,26.7209,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 03:00,11.2048,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 03:00,9.1415,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 02:00,3.1959,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 02:00,26.5535,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 02:00,11.2042,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 02:00,9.2389,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 01:00,3.4115,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 01:00,28.0281,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 01:00,11.2091,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 01:00,9.2313,0
"Depth","FS-Bottom","Depth-sensor",2025-03-01 00:00,3.5609,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-03-01 00:00,27.6383,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-03-01 00:00,11.1988,0
"Bottom DO","FS-Bottom","DO-sensor",2025-03-01 00:00,9.2544,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 23:00,3.471,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 23:00,28.1348,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 23:00,11.2124,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 23:00,9.2714,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 22:00,3.1843,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 22:00,27.8178,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 22:00,11.2196,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 22:00,9.2821,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 21:00,2.6549,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 21:00,26.8399,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 21:00,11.2467,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 21:00,9.3622,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 20:00,2.1843,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 20:00,24.8261,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 20:00,11.2569,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 20:00,9.4312,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 19:00,1.7829,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 19:00,15.6131,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 19:00,11.1152,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 19:00,9.7898,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 18:00,1.5376,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 18:00,10.9202,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 18:00,11.0077,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 18:00,10.0779,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 17:00,1.5314,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 17:00,11.5067,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 17:00,10.8927,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 17:00,10.167,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 16:00,1.7815,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 16:00,14.0795,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 16:00,10.8751,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 16:00,10.156,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 15:00,2.1749,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 15:00,18.3469,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 15:00,10.9801,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-28 15:00,10.0414,0
"Depth","FS-Bottom","Depth-sensor",2025-02-28 14:00,2.781,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-28 14:00,23.7437,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-28 14:00,11.0199,0
