Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-04-22 17:00,2.3881,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 17:00,31.3772,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 17:00,10.7229,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 16:00,2.0569,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 16:00,31.5643,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 16:00,11.1045,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 15:00,1.8347,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 15:00,30.3647,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 15:00,11.4621,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 14:00,1.7045,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 14:00,27.2904,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 14:00,12.1602,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 13:00,1.7385,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 13:00,27.7158,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 13:00,11.7354,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 12:00,1.9437,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 12:00,29.7403,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 12:00,11.209,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 11:00,2.1928,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 11:00,31.0082,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 11:00,10.6875,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 10:00,2.5199,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 10:00,31.971,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 10:00,10.2839,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 09:00,2.85,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 09:00,32.2084,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 09:00,10.0899,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 08:00,3.0708,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 08:00,32.3839,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-04-22 08:00,9.845,0
"Depth","FS-Bottom","Depth-sensor",2025-04-22 07:00,3.2189,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-04-22 07:00,32.4469,0
