Series Name,Location,Parameter,Timestamp,Value,Offset
"Surface pH","FS-Surface","pH-sensor",2025-02-10 10:00,7.7361,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 09:00,3.6849,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 09:00,0.9655,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 09:00,8.7985,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 09:00,11.2624,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 09:00,0.059,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 09:00,7.7553,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 08:00,3.6161,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 08:00,0.9682,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 08:00,8.7318,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 08:00,11.2737,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 08:00,0.0381,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 08:00,7.6915,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 07:00,3.3812,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 07:00,0.8011,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 07:00,8.7441,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 07:00,11.2709,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 07:00,0.0253,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 07:00,7.7502,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 06:00,3.1033,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 06:00,0.5646,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 06:00,8.8106,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 06:00,11.2989,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 06:00,0.0294,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 06:00,7.7514,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 05:00,2.8159,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2025-02-10 05:00,0.4913,0
"Surface Temp","FS-Surface","Temperature-sensor",2025-02-10 05:00,8.855,0
"Surface DO","FS-Surface","DO-sensor",2025-02-10 05:00,11.2946,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2025-02-10 05:00,0.0301,0
"Surface pH","FS-Surface","pH-sensor",2025-02-10 05:00,7.6855,0
