Series Name,Location,Parameter,Timestamp,Value,Offset
"Depth","FS-Bottom","Depth-sensor",2025-02-10 04:00,2.6253,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 04:00,28.4354,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 04:00,11.234,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 04:00,8.467,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 03:00,2.5506,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 03:00,28.1857,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 03:00,11.2399,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 03:00,8.3721,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 02:00,2.5884,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 02:00,28.3861,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 02:00,11.2457,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 02:00,8.4756,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 01:00,2.7572,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 01:00,29.0644,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 01:00,11.3034,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 01:00,8.4677,0
"Depth","FS-Bottom","Depth-sensor",2025-02-10 00:00,2.9146,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-10 00:00,29.2186,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-10 00:00,11.3157,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-10 00:00,8.5989,0
"Depth","FS-Bottom","Depth-sensor",2025-02-09 23:00,3.0431,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-09 23:00,28.9524,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-09 23:00,11.3037,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-09 23:00,8.7064,0
"Depth","FS-Bottom","Depth-sensor",2025-02-09 22:00,3.0244,-6.46
"Bottom Salinity","FS-Bottom","Salinity-sensor",2025-02-09 22:00,28.5636,0
"Bottom Temp","FS-Bottom","Temperature-sensor",2025-02-09 22:00,11.2704,0
"Bottom DO","FS-Bottom","DO-sensor",2025-02-09 22:00,8.7838,0
"Depth","FS-Bottom","Depth-sensor",2025-02-09 21:00,2.9029,-6.46
