Series Name,Location,Parameter,Timestamp,Value,Offset
"Surface pH","FS-Surface","pH-sensor",2024-10-16 11:00,8.1184,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 10:00,3.7044,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 10:00,31.7642,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 10:00,12.5491,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 10:00,8.6939,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 10:00,1.2054,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 10:00,8.131,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 09:00,3.465,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 09:00,32.037,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 09:00,12.343,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 09:00,8.7113,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 09:00,3.6202,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 09:00,8.1393,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 08:00,3.0805,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 08:00,31.3898,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 08:00,12.8336,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 08:00,8.0848,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 08:00,1.6735,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 08:00,8.0682,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 07:00,2.6205,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 07:00,30.747,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 07:00,13.2706,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 07:00,7.9368,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 07:00,1.3641,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 07:00,8.0335,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 06:00,2.1814,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 06:00,29.8968,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 06:00,13.5474,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 06:00,7.9052,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 06:00,2.5399,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 06:00,8.0075,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 05:00,1.9609,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 05:00,29.41,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 05:00,13.7871,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 05:00,7.8678,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 05:00,1.3942,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 05:00,7.9911,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 04:00,1.9032,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 04:00,30.1881,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 04:00,13.5454,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 04:00,8.0391,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 04:00,1.4809,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 04:00,8.0254,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 03:00,2.1189,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 03:00,30.9773,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 03:00,13.2547,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 03:00,8.2041,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 03:00,1.7317,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 03:00,8.0647,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 02:00,2.4245,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 02:00,31.5456,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 02:00,12.958,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 02:00,8.2892,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 02:00,1.5606,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 02:00,8.091,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 01:00,2.9007,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 01:00,31.7035,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 01:00,12.7528,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 01:00,8.7283,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 01:00,1.6747,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 01:00,8.1404,0
"Depth","FS-Bottom","Depth-sensor",2024-10-16 00:00,3.2584,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-16 00:00,31.5339,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-16 00:00,12.9404,0
"Surface DO","FS-Surface","DO-sensor",2024-10-16 00:00,8.7946,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-16 00:00,3.575,0
"Surface pH","FS-Surface","pH-sensor",2024-10-16 00:00,8.1367,0
"Depth","FS-Bottom","Depth-sensor",2024-10-15 23:00,3.5003,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-15 23:00,31.585,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-15 23:00,12.9025,0
"Surface DO","FS-Surface","DO-sensor",2024-10-15 23:00,8.8642,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-15 23:00,2.1513,0
"Surface pH","FS-Surface","pH-sensor",2024-10-15 23:00,8.14,0
"Depth","FS-Bottom","Depth-sensor",2024-10-15 22:00,3.4907,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-15 22:00,31.903,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-10-15 22:00,12.5752,0
"Surface DO","FS-Surface","DO-sensor",2024-10-15 22:00,9.0264,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-10-15 22:00,1.5948,0
"Surface pH","FS-Surface","pH-sensor",2024-10-15 22:00,8.1692,0
"Depth","FS-Bottom","Depth-sensor",2024-10-15 21:00,3.3481,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-10-15 21:00,32.2151,0
